TA_ID,LAT,LONG,TAMBON_E
170407,14.801,100.425,Rong Chang
170501,14.765,100.384,Thon Samo
170502,14.774,100.36,Pho Prachak
170503,14.801,100.409,Wihan Khao
170504,14.772,100.41,Phikun Thong
170601,15.009,100.329,In Buri
170602,15.042,100.291,Prasuk
170603,14.96,100.334,Thap Ya
170604,14.988,100.389,Ngio Rai
170605,15.081,100.331,Chi Nam Rai
170606,15.041,100.343,Tha Ngam
170607,14.976,100.361,Namtan
170608,15.046,100.385,Thong En
170609,15.019,100.269,Huai Chan
170610,15.027,100.439,Pho Chai
180101,15.181,100.127,Nai Mueang
180102,15.182,100.153,Ban Kluai
180103,15.163,100.113,Tha Chai
180104,15.129,100.151,Chai Nat
180105,15.218,100.134,Khao Tha Phra
180106,15.2,100.079,Hat Tha Sao
180107,15.264,100.133,Thammamun
180108,15.238,100.224,Suea Hok
180109,15.122,100.082,Nang Lue
180201,15.291,100.091,Khung Samphao
180202,15.326,100.107,Wat Khok
180203,15.354,100.122,Sila Dan
180204,15.379,100.138,Tha Chanuan
180205,15.292,100.146,Hang Nam Sakhon
180206,15.333,100.225,Rai Phatthana
180207,15.274,100.219,U Taphao
180301,15.263,100.041,Wat Sing
180302,15.227,100.04,Makham Thao
180303,15.177,100.015,Nong Noi
180304,15.283,100.013,Nong Bua
180306,15.235,99.97,Nong Khun
180307,15.283,99.958,Bo Rae
180311,15.171,99.916,Wang Man
180401,15.128,100.233,Sapphaya
180402,15.195,100.198,Taluk
180403,15.142,100.316,Khao Kaeo
180404,15.084,100.272,Pho Nang Dam Tok
180405,15.12,100.283,Pho Nang Dam Ok
180406,15.143,100.197,Bang Luang
180407,15.165,100.262,Hat A Sa
180501,15.062,100.107,Phraek Si Racha
180502,15.089,100.161,Thiang Thae
180503,15.096,100.203,Huai Krot
180504,14.995,100.249,Pho Ngam
180505,14.991,100.194,Bang Khut
